DateRep,CountryExp,CountryCode,ConfCases
2022-06-03,Romania,RO,0
2022-06-03,Slovakia,SK,0
2022-06-03,Slovenia,SI,0
2022-06-03,Spain,ES,31
2022-06-03,Sweden,SE,0
2022-06-04,Austria,AT,0
2022-06-04,Belgium,BE,1
2022-06-04,Bulgaria,BG,0
2022-06-04,Croatia,HR,0
2022-06-04,Cyprus,CY,0
2022-06-04,Czechia,CZ,0
2022-06-04,Denmark,DK,0
2022-06-04,Estonia,EE,0
2022-06-04,Finland,FI,0
2022-06-04,France,FR,5
2022-06-04,Germany,DE,2
2022-06-04,Greece,EL,0
2022-06-04,Hungary,HU,1
2022-06-04,Iceland,IS,0
2022-06-04,Ireland,IE,0
2022-06-04,Italy,IT,0
2022-06-04,Latvia,LV,0
2022-06-04,Lithuania,LT,0
2022-06-04,Luxembourg,LU,0
2022-06-04,Malta,MT,0
2022-06-04,Netherlands,NL,3
2022-06-04,Norway,NO,0
2022-06-04,Poland,PL,0
2022-06-04,Portugal,PT,0
2022-06-04,Romania,RO,0
2022-06-04,Slovakia,SK,0
2022-06-04,Slovenia,SI,0
2022-06-04,Spain,ES,12
2022-06-04,Sweden,SE,0
2022-06-05,Austria,AT,0
2022-06-05,Belgium,BE,0
2022-06-05,Bulgaria,BG,0
2022-06-05,Croatia,HR,0
2022-06-05,Cyprus,CY,0
2022-06-05,Czechia,CZ,0
2022-06-05,Denmark,DK,0
2022-06-05,Estonia,EE,0
2022-06-05,Finland,FI,1
2022-06-05,France,FR,0
2022-06-05,Germany,DE,0
2022-06-05,Greece,EL,0
2022-06-05,Hungary,HU,1
2022-06-05,Iceland,IS,0
2022-06-05,Ireland,IE,0
2022-06-05,Italy,IT,0
2022-06-05,Latvia,LV,0
2022-06-05,Lithuania,LT,0
2022-06-05,Luxembourg,LU,0
2022-06-05,Malta,MT,0
2022-06-05,Netherlands,NL,1
2022-06-05,Norway,NO,0
2022-06-05,Poland,PL,0
2022-06-05,Portugal,PT,0
2022-06-05,Romania,RO,0
2022-06-05,Slovakia,SK,0
2022-06-05,Slovenia,SI,0
2022-06-05,Spain,ES,7
2022-06-05,Sweden,SE,0
2022-06-06,Austria,AT,0
2022-06-06,Belgium,BE,0
2022-06-06,Bulgaria,BG,0
2022-06-06,Croatia,HR,0
2022-06-06,Cyprus,CY,0
2022-06-06,Czechia,CZ,0
2022-06-06,Denmark,DK,0
2022-06-06,Estonia,EE,0
2022-06-06,Finland,FI,0
2022-06-06,France,FR,0
2022-06-06,Germany,DE,1
2022-06-06,Greece,EL,0
2022-06-06,Hungary,HU,0
2022-06-06,Iceland,IS,0
2022-06-06,Ireland,IE,0
2022-06-06,Italy,IT,1
2022-06-06,Latvia,LV,2
2022-06-06,Lithuania,LT,0
2022-06-06,Luxembourg,LU,0
2022-06-06,Malta,MT,0
2022-06-06,Netherlands,NL,1
2022-06-06,Norway,NO,0
2022-06-06,Poland,PL,2
2022-06-06,Portugal,PT,10
2022-06-06,Romania,RO,0
2022-06-06,Slovakia,SK,0
2022-06-06,Slovenia,SI,0
2022-06-06,Spain,ES,37
2022-06-06,Sweden,SE,1
2022-06-07,Austria,AT,0
2022-06-07,Belgium,BE,1
2022-06-07,Bulgaria,BG,0
2022-06-07,Croatia,HR,0
2022-06-07,Cyprus,CY,0
2022-06-07,Czechia,CZ,0
2022-06-07,Denmark,DK,0
2022-06-07,Estonia,EE,0
2022-06-07,Finland,FI,0
