eventId,eventNumber,eventName_sv,eventName_en,eventDate,eventTime,eventTimestamp,eventHasFaceToFace,filmId,partyId,venueId,venueName,eventTicketStatus,eventBuyURL,eventBuyOneTimeURL,eventModifiedTimestamp
8088,416,Puzzle,Puzzle,2018-11-10,16:45:00,1541864700,false,12392,NA,8,Sture 3,soldout,NA,NA,1541459612
8089,417,Girls of the Sun,Girls of the Sun,2018-11-10,16:45:00,1541864700,false,12483,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8089,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8089,1541546116
8090,418,Hotel by the River,Hotel by the River,2018-11-10,17:00:00,1541865600,false,12445,NA,33,Filmhuset Mauritz,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8090,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8090,1541545970
8092,420,The Chambermaid,The Chambermaid,2018-11-10,17:00:00,1541865600,false,12412,NA,7,Sture 2,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8092,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8092,1541445406
8091,419,Jesus,Jesus,2018-11-10,17:15:00,1541866500,true,12405,NA,6,Sture 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8091,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8091,1541563827
7268,421,Stockholm Lifetime Achievement Award 2018 - Charlie Says,Charlie Says,2018-11-10,18:00:00,1541869200,true,12205,NA,1,Skandia,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7268,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=7268,1541553447
8094,423,People’s Republic of Desire,People’s Republic of Desire,2018-11-10,18:45:00,1541871900,false,12423,NA,8,Sture 3,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8094,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8094,1541549239
8093,422,EXT. Night,EXT. Night,2018-11-10,19:00:00,1541872800,true,12442,NA,7,Sture 2,few,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8093,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8093,1541534010
8095,424,Hard Paint,Hardpaint,2018-11-10,19:00:00,1541872800,false,12404,NA,33,Filmhuset Mauritz,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8095,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8095,1541376937
8096,425,The Load,The Load,2018-11-10,19:00:00,1541872800,true,12415,NA,42,Zita 1,available,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8096,http://www.stockholmfilmfestival.se/webapi/?action=add&type=ticket&id=8096,1541536767
