Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Betyg per ämne årskurs 6
Valt läsår: 2018/19

;;;;;;Antal elever;Antal elever;Antal elever;Andel (%) med A-E;Andel (%) med A-E;Andel (%) med A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Hällefors;1863;Örebro län;18;Samtliga;Bild;57;26;31;~100;100,0;~100;11,7;12,6;11,0;
Hällefors;1863;Örebro län;18;Kommunal;Bild;57;26;31;~100;100,0;~100;11,7;12,6;11,0;
Härjedalen;2361;Jämtlands län;23;Samtliga;Bild;87;41;46;100,0;100,0;100,0;14,9;17,0;13,0;
Härjedalen;2361;Jämtlands län;23;Kommunal;Bild;87;41;46;100,0;100,0;100,0;14,9;17,0;13,0;
Härnösand;2280;Västernorrlands län;22;Samtliga;Bild;279;135;144;97,8;~100;~100;14,4;15,8;13,0;
Härnösand;2280;Västernorrlands län;22;Kommunal;Bild;260;122;138;97,7;~100;~100;14,3;15,9;13,0;
Härnösand;2280;Västernorrlands län;22;Enskild;Bild;19;..;..;100,0;100,0;..;14,5;15,2;..;
Härryda;1401;Västra Götalands län;14;Samtliga;Bild;564;270;294;~100;100,0;~100;13,9;15,4;12,5;
Härryda;1401;Västra Götalands län;14;Kommunal;Bild;489;231;258;~100;100,0;~100;13,6;15,1;12,3;
Härryda;1401;Västra Götalands län;14;Enskild;Bild;75;39;36;100,0;100,0;100,0;15,9;17,3;14,4;
Hässleholm;1293;Skåne län;12;Samtliga;Bild;629;323;306;99,0;~100;~100;14,2;15,5;12,9;
Hässleholm;1293;Skåne län;12;Kommunal;Bild;542;280;262;98,9;~100;~100;13,9;15,1;12,5;
Hässleholm;1293;Skåne län;12;Enskild;Bild;87;43;44;100,0;100,0;100,0;16,5;17,7;15,3;
Höganäs;1284;Skåne län;12;Samtliga;Bild;338;175;163;97,6;~100;..;14,1;15,3;12,7;
Höganäs;1284;Skåne län;12;Kommunal;Bild;307;162;145;97,4;~100;..;14,0;15,3;12,5;
Höganäs;1284;Skåne län;12;Enskild;Bild;31;13;18;100,0;100,0;100,0;15,0;16,3;14,0;
Högsby;0821;Kalmar län;08;Samtliga;Bild;79;41;38;~100;~100;~100;13,8;14,9;12,6;
Högsby;0821;Kalmar län;08;Kommunal;Bild;79;41;38;~100;~100;~100;13,8;14,9;12,6;
Hörby;1266;Skåne län;12;Samtliga;Bild;165;79;86;97,0;~100;~100;12,3;13,1;11,6;
Hörby;1266;Skåne län;12;Kommunal;Bild;144;67;77;96,5;~100;~100;12,1;12,8;11,4;
Hörby;1266;Skåne län;12;Enskild;Bild;21;..;..;100,0;100,0;..;14,2;14,8;..;
Höör;1267;Skåne län;12;Samtliga;Bild;191;89;102;95,8;~100;..;13,2;14,7;11,9;
Höör;1267;Skåne län;12;Kommunal;Bild;151;65;86;94,7;~100;..;12,7;14,2;11,5;
Höör;1267;Skåne län;12;Enskild;Bild;40;24;16;100,0;100,0;100,0;15,0;15,8;13,8;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Bild;38;23;15;100,0;100,0;100,0;15,3;16,5;13,5;
